artist_id,artist_name,artist_image_url,genre,monthly_listeners_2024-10-19,monthly_listeners_2024-10-20,monthly_listeners_2024-10-21
3292784,Сова,https://avatars.yandex.net/get-music-content/10092855/db809d49.p.3292784/200x200,['местная инди-музыка'],,,
3801185,Сироткин,https://avatars.yandex.net/get-music-content/10092855/7d4382ea.p.3801185/200x200,['местная инди-музыка'],,405642.0,
4669403,Мимо Вселенной,https://avatars.yandex.net/get-music-content/4747389/6ac4309f.p.4669403/200x200,['местная инди-музыка'],,,
9588923,нексюша,https://avatars.yandex.net/get-music-content/10126140/72c39cb6.p.9588923/200x200,['русская поп-музыка'],,,
4998322,найтивыход,https://avatars.yandex.net/get-music-content/10103188/6b88d8d5.p.4998322/200x200,['русский рэп'],,,
7310720,конец солнечных дней,https://avatars.yandex.net/get-music-content/10930741/23f58c3b.p.7310720/200x200,['местная инди-музыка'],,,
10848257,Lely45,https://avatars.yandex.net/get-music-content/4477012/27b16da6.p.10848257/200x200,['местная инди-музыка'],,,
1532779,Моя Мишель,https://avatars.yandex.net/get-music-content/5853241/36bb99cf.p.1532779/200x200,['русская поп-музыка'],,,
7423616,NEMIGA,https://avatars.yandex.net/get-music-content/10126140/bde6c7dd.p.7423616/200x200,"['русская поп-музыка', 'русский рэп']",,,
11161384,Green Apelsin,https://avatars.yandex.net/get-music-content/10874616/b603acf5.p.11161384/200x200,"['местная инди-музыка', 'русский рок']",,743595.0,761923
5599442,Тося Чайкина,https://avatars.yandex.net/get-music-content/5853241/cd81eab3.p.5599442/200x200,['местная инди-музыка'],,,
6606456,Коста Лакоста,https://avatars.yandex.net/get-music-content/8096180/b4ed1e6a.p.6606456/200x200,['русский рэп'],,,
10878798,XOLIDAYBOY,https://avatars.yandex.net/get-music-content/9737237/cd4bf3b4.p.10878798/200x200,['русская поп-музыка'],,,
3386706,NLO,https://avatars.yandex.net/get-music-content/10092855/da29b01f.p.3386706/200x200,"['русская поп-музыка', 'русский рэп']",,,
432938,Маша и Медведи,https://avatars.yandex.net/get-music-content/2110367/39ac9248.p.432938/200x200,['русский рок'],,,
3706671,RSAC,https://avatars.yandex.net/get-music-content/2433821/972a6707.p.3706671/200x200,['местная инди-музыка'],,,2110328
6753742,nicebeatzprod.,https://avatars.yandex.net/get-music-content/10126140/6317dfd7.a.29875849-1/200x200,['русская поп-музыка'],240140.0,,240404
4439056,SALUKI,https://avatars.yandex.net/get-music-content/108289/9eb925e9.p.4439056/200x200,['русский рэп'],,,
6179198,Иван Рейс,https://avatars.yandex.net/get-music-content/10930741/99a3c210.p.6179198/200x200,"['русская поп-музыка', 'русский рэп']",,,945928
6033906,Стереополина,https://avatars.yandex.net/get-music-content/10139807/4cb6437f.p.6033906/200x200,['местная инди-музыка'],,,
5053856,GSPD,https://avatars.yandex.net/get-music-content/8871869/457ed03f.p.5053856/200x200,['русский рэп'],,,1324148
18642,t.A.T.u.,https://avatars.yandex.net/get-music-content/34131/6374ae5f.a.87894-1/200x200,['русская поп-музыка'],,,1972542
8095900,Три дня дождя,https://avatars.yandex.net/get-music-content/10703962/c0c6d874.p.8095900/200x200,"['русская поп-музыка', 'русский рок']",,,4378604
5430946,невиди́мка,https://avatars.yandex.net/get-music-content/5314916/a9eed109.p.5430946/200x200,"['русская поп-музыка', 'местная инди-музыка']",,,
5652191,Анет Сай,https://avatars.yandex.net/get-music-content/6214856/fb5d631b.p.5652191/200x200,['русская поп-музыка'],,,2360546
41098,Мумий Тролль,https://avatars.yandex.net/get-music-content/2806365/fffb6dd8.p.41098/200x200,['русский рок'],,,3673382
6963944,Dose,https://avatars.yandex.net/get-music-content/8096180/aea64b67.p.6963944/200x200,"['русская поп-музыка', 'русский рэп']",,,
6826935,Дора,https://avatars.yandex.net/get-music-content/6300975/bdcb77dd.p.6826935/200x200,['русская поп-музыка'],,,2529070
6019372,Мэйби Бэйби,https://avatars.yandex.net/get-music-content/9837803/2b4eb108.p.6019372/200x200,['русская поп-музыка'],,,1244059
6928538,МУККА,https://avatars.yandex.net/get-music-content/5502420/582c3514.p.6928538/200x200,['русский рок'],,,
6599738,Nikitata,https://avatars.yandex.net/get-music-content/7548376/32da4075.p.6599738/200x200,['русская поп-музыка'],,,956585
9352087,Karna.val,https://avatars.yandex.net/get-music-content/9837405/534e6dcd.p.9352087/200x200,['русская поп-музыка'],,,2588971
4622988,Слава КПСС,https://avatars.yandex.net/get-music-content/9838169/801077fa.p.4622988/200x200,['русский рэп'],,,1273425
7072757,Lina Lee,https://avatars.yandex.net/get-music-content/5485872/7bf82c48.p.7072757/200x200,['русская поп-музыка'],,,318440
2428208,Сюзанна,https://avatars.yandex.net/get-music-content/8871869/479121b4.p.2428208/200x200,['русская поп-музыка'],,,1749384
7714432,Lida,https://avatars.yandex.net/get-music-content/5503671/91f1938c.p.7714432/200x200,"['русская поп-музыка', 'русский рэп']",,,
8189731,Дарья Виардо,https://avatars.yandex.net/get-music-content/4796762/4f4dd847.p.8189731/200x200,['местная инди-музыка'],,,290490
5271861,Екатерина Яшникова,https://avatars.yandex.net/get-music-content/2383988/c55b917d.p.5271861/200x200,"['местная инди-музыка', 'русский рок']",,,
9588066,Plamenev,https://avatars.yandex.net/get-music-content/3334966/d9117dc5.a.11449584-1/200x200,['русский рок'],,,
6907498,PALC,https://avatars.yandex.net/get-music-content/9838169/94210aff.p.6907498/200x200,"['русская поп-музыка', 'местная инди-музыка']",,,
7796783,TMNV,https://avatars.yandex.net/get-music-content/9868087/911b7d56.p.7796783/200x200,"['русская поп-музыка', 'русский рэп']",,,747699
4077045,Asper X,https://avatars.yandex.net/get-music-content/5503671/8a084a8b.p.4077045/200x200,"['русский рок', 'русский рэп']",,,603352
5429719,Ai Mori,https://avatars.yandex.net/get-music-content/6201394/e38ecdef.a.22950847-1/200x200,['русская поп-музыка'],,,674236
6125317,Nodahsa,https://avatars.yandex.net/get-music-content/4404215/0cdbf261.p.6125317/200x200,['русская поп-музыка'],,,944198
5763226,Drummatix,https://avatars.yandex.net/get-music-content/10641165/ae3157ac.p.5763226/200x200,['русский рэп'],,,
8920190,Neverlove,https://avatars.yandex.net/get-music-content/6386858/7240197a.p.8920190/200x200,['русский рок'],,,781665
7018554,passmurny,https://avatars.yandex.net/get-music-content/10641165/367ddba4.p.7018554/200x200,['местная инди-музыка'],,,
457401,The Retuses,https://avatars.yandex.net/get-music-content/98892/a780734b.p.457401/200x200,['местная инди-музыка'],,,114265
10792459,R.A.SVET,https://avatars.yandex.net/get-music-content/9784575/260d8f51.p.10792459/200x200,"['русская поп-музыка', 'местная инди-музыка']",,,684984
5244674,Грязь,https://avatars.yandex.net/get-music-content/8096180/81697ece.p.5244674/200x200,['русский рэп'],,,424180
8420850,Soltwine,https://avatars.yandex.net/get-music-content/5503671/7b56e18a.p.8420850/200x200,"['русская поп-музыка', 'местная инди-музыка', 'русский рок']",,500763.0,503618
6410084,Mirèle,https://avatars.yandex.net/get-music-content/9837520/0fe952d3.p.6410084/200x200,"['русская поп-музыка', 'местная инди-музыка']",,,
3730431,Аффинаж,https://avatars.yandex.net/get-music-content/4304260/4c252e43.p.3730431/200x200,['русский рок'],,,254730
6487554,cold carti,https://avatars.yandex.net/get-music-content/5502420/4c6c0d85.p.6487554/200x200,"['русская поп-музыка', 'русский рэп']",,,968362
6167730,Обстоятельства,https://avatars.yandex.net/get-music-content/10126140/2afb9458.p.6167730/200x200,['местная инди-музыка'],,,315377
9127019,Панкмодернисты,https://avatars.yandex.net/get-music-content/10960834/2e06ca9f.p.9127019/200x200,"['местная инди-музыка', 'русский рэп']",,,333178
338745,Город 312,https://avatars.yandex.net/get-music-content/6386858/540e00c2.p.338745/200x200,['русский рок'],,,2027058
161243,Сплин,https://avatars.yandex.net/get-music-content/3226792/add79158.p.161243/200x200,['русский рок'],,,3397663
907548,МАЧЕТЕ,https://avatars.yandex.net/get-music-content/32236/41f132a0.p.907548/200x200,['русский рок'],,,1482169
156427,Звери,https://avatars.yandex.net/get-music-content/2810397/de86a725.p.156427/200x200,['русский рок'],,,4006532
41128,Uma2rman,https://avatars.yandex.net/get-music-content/8123381/39da1e13.p.41128/200x200,['русский рок'],,,
219036,Ёлка,https://avatars.yandex.net/get-music-content/5496390/b3106af1.p.219036/200x200,['русская поп-музыка'],,,4229147
7439644,pavluchenko,https://avatars.yandex.net/get-music-content/10703962/186c2605.p.7439644/200x200,"['русская поп-музыка', 'местная инди-музыка', 'русский рэп']",,,599960
5824240,CMH,https://avatars.yandex.net/get-music-content/8871869/3ce348ff.p.5824240/200x200,['русский рэп'],,,1109175
6004276,Шарлот,https://avatars.yandex.net/get-music-content/192707/3d3ebe72.p.6004276/200x200,['русская поп-музыка'],,,212571
3095130,Хаски,https://avatars.yandex.net/get-music-content/10960834/dc69f60b.p.3095130/200x200,['русский рэп'],,,1134028
6456325,SLAVA MARLOW,https://avatars.yandex.net/get-music-content/9707577/06dac58b.p.6456325/200x200,"['русская поп-музыка', 'русский рэп']",,,1905990
2938031,Markul,https://avatars.yandex.net/get-music-content/9867886/d5717ad3.p.2938031/200x200,['русский рэп'],,,3853138
4623476,FEDUK,https://avatars.yandex.net/get-music-content/5417945/1633487b.p.4623476/200x200,['русский рэп'],,,4245990
5056591,Джарахов,https://avatars.yandex.net/get-music-content/10092855/68cd4540.p.5056591/200x200,['русский рэп'],3823037.0,,3809045
5885296,The Limba,https://avatars.yandex.net/get-music-content/6386858/c48fb620.p.5885296/200x200,"['русская поп-музыка', 'русский рэп']",,,4006988
5850853,Konfuz,https://avatars.yandex.net/get-music-content/6201394/6e487de2.p.5850853/200x200,['русская поп-музыка'],,,5390640
8812067,Канги,https://avatars.yandex.net/get-music-content/10103188/7890d438.p.8812067/200x200,"['русская поп-музыка', 'русский рэп']",,,2119099
4330960,Rauf & Faik,https://avatars.yandex.net/get-music-content/6300975/cb34b9a9.p.4330960/200x200,"['русская поп-музыка', 'русский рэп']",,,1757129
