artist_id,similar_artists_id
8128501,"['5186717', '8215614', '17369034', '9023738', '5650255', '3375466', '11050411', '3671827', '4160941', '41140', '12504076', '4881637', '6189557', '8199499', '4827657', '3176659', '5660205', '9661420', '2942553', '727907', '4199738', '1430632', '21072884', '41062', '5391671', '1108192', '78804', '2914336', '5271861', '2962264', '188966', '6436168', '9236248', '1587180', '4700397', '9814706', '42512', '5196254', '9186030', '1719288', '2834468', '2655634', '6075859', '8523856', '7955897', '10040636', '6125317', '4266911', '9323583']"
407253,"['835019', '4606985', '479702', '64169', '2549', '427403', '1437490', '42390', '111191', '1014281', '118889', '1596658', '501979', '131821', '421678', '29695', '859164', '3746633', '3290645', '1525', '853465', '1035158', '11112', '2994835', '454122', '168075', '54254', '552', '109122', '3215193', '2429316', '188071', '7618', '41170', '12357', '701284', '5127143', '57862', '125175', '1933', '190020', '25037', '108511', '8973', '1639784', '583498', '2841821', '873729', '2841819']"
833264,"['15520884', '1046189', '519183', '2617830', '2686162', '3730431', '3277864', '1108192', '41170', '2566273', '519191', '3176659', '3375466', '2701786', '5140978', '3435922', '5495146', '5262098', '2829441', '7693553', '3801185', '4169598', '6222019', '1590458', '18683011', '5054100', '6907498', '8189731', '4116725', '1793305', '6371054', '646106', '4774224', '1561890', '160530', '5660205', '10792459', '8451432', '432938', '6410084', '188970', '4370377', '6261169', '3836355', '432914', '1591567', '3866018']"
6305508,"['10792459', '6167730', '2701786', '9006017', '5538961', '4709442', '7439644', '7018554', '5907689', '5599442', '1793305', '6104515', '7796783', '6012070', '681188', '11573356', '10848257', '6222019', '6774677', '3866018', '5103897', '1532331', '5451801', '3277864', '2620997', '7309735', '3801185', '8947630', '6996012', '6179198', '10216912', '8406047', '4034285', '19015339', '2734041', '6499264', '2428208', '1023815', '9341585', '3435922', '10894360', '7423616', '5379284', '1641938', '6988160', '5091396', '3808906', '266271', '15520884']"
646106,"['15520884', '3277864', '5391671', '5271861', '41062', '359556', '673006', '226412', '359577', '16412', '5349983', '4741207', '2729891', '421793', '8189731', '421792', '6261169', '833264', '79770', '359575', '3333335', '167621', '160603', '338745', '2315634', '2655634', '42523', '2693258', '11050411', '199337', '3375466', '233563', '5495146', '4432147', '41140', '3428284', '907548', '3962463', '3971041', '26931', '2717655', '233558', '218229', '161244', '110218', '41128', '11161384']"
6261169,"['5271861', '4081435', '5495146', '6907498', '5391671', '4451161', '3375466', '2834468', '7034154', '727907', '6123761', '8189731', '1046189', '2963906', '3061781', '7415250', '9658225', '6202626', '8649037', '646106', '2617830', '5779358', '5492529', '8264915', '833264', '3333335', '359568', '6323450', '9480213', '3962463', '5140978', '3146056', '7081151', '5546028', '359556', '3894403', '673006', '9588923', '3059887', '4372261', '7823707', '164404', '5363686', '166306', '6075859', '5238419', '11161384', '6956505']"
5599442,"['6963944', '2701786', '9006017', '5538961', '10848257', '6222019', '4709442', '4027035', '6305508', '1023815', '2428208', '1532779', '7423616', '4994784', '1532331', '1372259', '3277864', '6914440', '11872827', '7723814', '10894360', '7532997', '10792459', '3706671', '6104515', '7320578', '7072757', '5907689', '8015409', '5097198', '3808906', '1793305', '3801185', '11573356', '9323583', '11343335', '3671827', '6774677', '10294988', '4370377', '2734041', '681188', '3437397', '5546028', '4439056', '8198857', '7439644', '8809832', '2938031']"
6033906,"['7174914', '5430946', '3292784', '5774696', '232871', '6222019', '4672855', '10848257', '5373532', '6269258', '5053856', '9341585', '4029507', '432938', '6177002', '4370377', '3938875', '9661420', '6808132', '5393321', '5097198', '2686162', '3753800', '4774224', '3435922', '12187976', '2942553', '7796783', '5944214', '3942622', '7048612', '3142221', '9046290', '15286677', '6907498', '5349983', '8739954', '4233786', '3212526', '21105854', '18064180', '202158', '8451432', '6410084', '10593542', '7693553', '6721519', '9763280', '3778962']"
6222019,"['10848257', '7723814', '5097198', '5349983', '2701786', '7423616', '2686162', '5546028', '15520884', '232871', '4370377', '5599442', '6914440', '4110067', '3435922', '11161384', '4027035', '1532331', '3706671', '4774224', '432938', '7072757', '6753742', '6104515', '6305508', '3753800', '4652316', '18683011', '7693553', '5451801', '5054100', '4439056', '6033906', '9617142', '8451432', '4709442', '3315646', '5457159', '41133', '6599738', '6928538', '1793305', '202158', '6179198', '1532779', '8095900', '5907689', '2428208', '5313769']"
18683011,"['412769', '15520884', '6222019', '2686162', '6142789', '10848257', '3176659', '4856752', '7439644', '833264', '2829441', '7693553', '5660205', '5036741', '2617830', '8553938', '4169598', '16867688', '4116725', '1108192', '5262098', '8451432', '3375466', '3168441', '10792459', '7072757', '3206935', '4105469', '1793305', '1108582', '5546028', '432938', '1046189', '7018554', '6305508', '11050999', '8158528', '86702', '11972630', '3924940', '10216912', '2566273', '8644860', '6753742', '12908661', '10762874', '266271', '6371054']"
2686162,"['4774224', '8553938', '6222019', '7693553', '5546028', '15520884', '4370377', '3753800', '8451432', '3435922', '6142789', '6721519', '4572203', '4029507', '618427', '9617142', '6410084', '833264', '5913514', '6004276', '5399221', '5054100', '18683011', '6177002', '161973', '7439644', '10848257', '5140978', '49522', '5373532', '2701786', '7532997', '6371054', '6407566', '6502292', '188916', '4772494', '232871', '2952500', '1028382', '4998322', '7018554', '2428208', '6907498', '4525928', '4709442', '2525773', '8189731', '1590458']"
4904734,"['6611136', '4328860', '5908022', '4220365', '4419936', '7749529', '4698774', '1126996', '3044539', '3318286', '5587392', '5159475', '3733722', '2554200', '150772', '7246568', '588197', '9357483', '5275012', '4327238', '3056462', '711232', '5752096', '6598708', '3985610', '6332998', '6068587', '645189', '10022384', '283665', '137741', '4096496', '2176818', '2620094', '123166', '9329926', '134676', '7605302', '3017805', '10194396', '343496', '17237727', '3929792', '720649', '3851335', '9028298', '8448721', '32545']"
41170,"['519187', '3836355', '5140978', '5324691', '519183', '359561', '767677', '2554713', '3801185', '3730431', '457401', '9364221', '1561890', '54254', '833264', '7952153', '1014281', '3435922', '359562', '118889', '1046189', '6410084', '1095734', '412775', '3718228', '6150311', '15446', '1154773', '8143', '3778962', '2203814', '1590458', '5373532', '131821', '407253', '5807395', '2566273', '6310447', '519191', '77059', '5641233', '853465', '109122', '56012', '129413', '4406703', '6269258', '3292784', '785405']"
2554713,"['519183', '359561', '359562', '519191', '708460', '4160941', '1591567', '1095734', '4299442', '41170', '1583069', '5196254', '2203814', '1561890', '87494', '3836355', '7552982', '5947583', '4353186', '3105057', '4708709', '3328906', '48699', '4116725', '1719288', '457401', '5807395', '3142189', '359557', '3144988', '8542414', '282957', '17547909', '5324691', '2566273', '3926810', '3718228', '8356776', '412775', '10538052', '3290645', '2689003', '5097713', '1590458', '519187', '9364221', '3808566', '17480694', '5660205']"
19338960,"['11048175', '17498013', '15970138', '17052021', '8665761', '8553938', '10761618', '17686339', '351391', '18448170', '19350246', '6373919', '825242', '19221005', '20215643', '13464235', '19513790', '19281619', '15557252', '10112409', '20838374', '17668424', '19211114', '4766688', '459430', '515846', '13260416', '1396260', '7945876', '21198251', '7310720', '278058', '8406727', '12439077', '19618045', '7950204', '11515815', '17907540', '12579580', '18660486', '19479116', '18803932', '19418024', '8523724', '8542814', '8824986']"
10848257,"['6222019', '7423616', '7072757', '7723814', '5097198', '6179198', '5599442', '5349983', '6753742', '6305508', '3706671', '8198857', '5036741', '2701786', '15520884', '4370377', '6033906', '4027035', '1372259', '4709442', '4110067', '2686162', '2428208', '8812067', '9727169', '5652191', '18683011', '5546028', '11161384', '10894360', '6606456', '6139384', '232871', '5451801', '10878798', '4994784', '432938', '5538961', '9323583', '5608856', '6504263', '6914440', '8809832', '4477099', '5839186', '4856752', '1532331', '3386706', '3435922']"
5373532,"['6269258', '3292784', '9679898', '6177002', '5393321', '4572203', '4029507', '3435922', '8451432', '6721519', '7693553', '5140978', '5399221', '5054100', '4774224', '7310720', '232871', '3778962', '6410084', '3801185', '5913514', '8189731', '9640922', '1832729', '49522', '161973', '8491263', '161544', '6371054', '3730431', '1988619', '4747684', '7048612', '4806844', '6150311', '2686162', '8553938', '4406703', '4669403', '129413', '6033906', '41170', '2419090', '853465', '9364221', '1590458', '5495146', '5546028']"
5140978,"['4572203', '4029507', '1988619', '6410084', '5373532', '6721519', '9679898', '41170', '6177002', '6269258', '5054100', '161973', '5913514', '7693553', '3292784', '519187', '5641233', '5399221', '7310720', '161544', '15446', '129413', '3435922', '4774224', '8451432', '5494678', '1185093', '54254', '5393321', '140285', '146803', '767677', '4406703', '412773', '833264', '49522', '77059', '3778962', '763042', '2686162', '853465', '2419090', '5324691', '8553938', '3801185', '3749834', '9588923', '1046189']"
359562,"['359561', '2554713', '519183', '1591567', '4299442', '167999', '708460', '3105057', '41148', '41170', '5196254', '4160941', '519191', '1583069', '164404', '412775', '2942553', '3142189', '218282', '8542414', '5807395', '8621539', '5324691', '336230', '42498', '3730431', '4747671', '3718228', '6150311', '3926810', '3836355', '41054', '10904336', '7732604', '4776089', '457401', '6143795', '519187', '1108192', '3808566', '589319', '2203814', '4372261', '4169598', '1561890', '188966', '48699', '4353186', '1046189']"
8189731,"['5495146', '7693553', '8451432', '3801185', '3749834', '11161384', '6269258', '5349983', '3730431', '5373532', '6907498', '432914', '3292784', '5271861', '10792459', '7427910', '6150311', '3435922', '3971041', '5393321', '5238419', '3428284', '5779358', '4169598', '7532997', '232871', '4827898', '7072757', '4147915', '2089252', '3277864', '6261169', '3962463', '2686162', '7174914', '7439644', '6222019', '15520884', '11050999', '457401', '762974', '4873936', '3866018', '833264', '5538961', '5140978', '45080', '646106']"
10792459,"['6167730', '6305508', '7018554', '7439644', '6012070', '5907689', '9006017', '2701786', '9786351', '5538961', '1793305', '8644860', '3866018', '3801185', '7796783', '1590458', '8947630', '681188', '9341585', '6499264', '5451801', '8420850', '8451432', '5379284', '5091396', '8406047', '19015339', '6310447', '4709442', '13473810', '7407804', '5907702', '7693553', '3730431', '8189731', '5922090', '6150311', '5495146', '5599442', '6371054', '10762874', '457401', '6204029', '9364221', '7427910', '1186382', '264520', '5779358', '10894360']"
3805596,"['4266911', '2453205', '41136', '586967', '41122', '41120', '3102809', '1431923', '313451', '41043', '5080154', '2962264', '41168', '41167', '5129628', '359568', '677799', '8649037', '359558', '156419', '166306', '41092', '412774', '41072', '218067', '6155194', '2905482', '9946819', '4741207', '41068', '188959', '614609', '358613', '3813604', '2655634', '189548', '41154', '3906138', '762581', '41094', '41055', '4747332', '218079', '2834468', '170650', '1206276', '189550', '167070', '673006']"
4318525,"['708543', '4389237', '2693258', '41094', '213649', '587013', '167070', '57714', '1643', '4178', '188971', '3924940', '421793', '421792', '4508', '3896392', '22', '453480', '3685520', '3940681', '101973', '427543', '359560', '8496049', '2920508', '188978', '1046189', '1339750', '2560639', '3971041', '233558', '42512', '136708', '160603', '16412', '167437', '115361', '426297', '13928', '2538539', '4428', '906952', '34150', '3891327', '1924604', '201834', '188964', '270199', '110404']"
6499264,"['9364221', '7552982', '1590458', '6167730', '8542414', '5922090', '6310447', '10792459', '9786351', '3718228', '6012070', '13473810', '1719288', '4160941', '6150311', '5441634', '6527235', '8455865', '3801185', '264520', '7018554', '8621539', '2978445', '6917082', '6305508', '9097033', '16860578', '5622310', '7952153', '11242927', '457401', '10375926', '2701786', '3292784', '9118323', '9006017', '8946891', '10762874', '8144635', '8654838', '10392389', '6262042', '4759929', '5643498', '13313223', '3435922', '8420850', '9127019', '6138979']"
6012070,"['8644860', '6167730', '7439644', '10792459', '5091396', '8420850', '5715217', '10762874', '7018554', '7350228', '9786351', '5922090', '13473810', '17301783', '9006017', '6251472', '1590458', '8455865', '11972630', '6305508', '5779358', '13215621', '6603271', '2978445', '9127019', '5907689', '6499264', '6310447', '355992', '6150311', '5981108', '264520', '7427910', '7407804', '7980164', '10392389', '4600344', '3146056', '19180462', '9341585', '8116752', '9097033', '8077814', '5765654', '15474039', '6996012', '9364221', '3772102', '5660205']"
412773,"['5641233', '763042', '3977503', '4943810', '5140978', '6171672', '519187', '3157538', '9420942', '7952153', '1046189', '4544003', '3050545', '7081151', '7602025', '9046290', '4355609', '5743495', '41170', '62491', '4712400', '412775', '785405', '2335766', '5981108', '359557', '16580245', '5887924', '7823707', '5356442', '48201', '8069079', '10277009', '4029507', '5807395', '4060852', '3379324', '3206935', '7620761', '7203647', '67203', '6624908', '161544', '9679898', '6410084', '6826271', '7097908', '161973', '5624164']"
7552982,"['9364221', '6527235', '8542414', '4160941', '6499264', '1719288', '11242927', '264520', '3718228', '6262042', '10057416', '1590458', '10375926', '5807395', '16860578', '4299442', '9097033', '7952153', '5947583', '8654838', '8356776', '1095734', '8639747', '5196254', '17853626', '5097713', '10538052', '2554713', '6310447', '16839765', '8837748', '3886967', '9786351', '519183', '8964301', '17480694', '13473810', '8946891', '4708709', '2864638', '2378493', '6138979', '8621539', '10904336', '519187', '9873223', '1606831', '7468158', '21016204']"
7310720,"['9679898', '4572203', '8406727', '5399221', '8491263', '6177002', '6721519', '5373532', '4406703', '16944656', '6269258', '4806844', '6117255', '8451432', '4029507', '4747684', '2443929', '17668424', '3292784', '7399424', '8771545', '5140978', '1988619', '7693553', '1185093', '5578874', '8634297', '5913514', '146803', '5364444', '5494678', '5393321', '6094646', '6373919', '6410084', '9127019', '3455400', '7128676', '10367783', '8553938', '5264259', '3778962', '5733643', '5811881', '4669403', '13260416', '161544', '161973']"
3836355,"['41170', '3730431', '5324691', '457401', '412775', '5807395', '6310447', '1095734', '305368', '359561', '3801185', '3033108', '2554713', '4313173', '28128', '4672855', '519187', '2089252', '767677', '3778962', '519183', '1154773', '1590458', '6150311', '432914', '766314', '3105057', '9364221', '129413', '5140978', '10538052', '1166372', '2203814', '4708709', '118889', '4029507', '3435922', '7952153', '161973', '3926810', '16407', '853465', '6269258', '359562', '5981108', '425612', '5393321', '5664468']"
9640922,"['5393321', '3778962', '6005038', '6269258', '3292784', '9679898', '7835193', '3942622', '9833472', '7174914', '5373532', '4747684', '6143795', '8928469', '12132861', '6996170', '18721515', '6150311', '3718228', '5815506', '13353777', '11285759', '2864638', '9364221', '8185368', '5423659', '6177002', '8491263', '6164072', '19164972', '5450410', '8771545', '9075418', '7691134', '570245', '12439275', '7692754', '8621539', '2650418', '8180013', '7399424', '8189731', '6310447', '5736857', '10027665', '4806844', '4672855', '10238885', '9661420']"
7439644,"['8644860', '10792459', '6012070', '7018554', '6167730', '5091396', '5907689', '9006017', '6305508', '4709442', '5715217', '5907702', '5538961', '7407804', '1793305', '5779358', '6996012', '7309735', '7427910', '266271', '7350228', '681188', '2686162', '9341585', '6371054', '5451801', '17301783', '8947630', '8455865', '8116752', '11972630', '6485715', '8420850', '7693553', '8451432', '3866018', '1590458', '6603271', '4669403', '2701786', '6774677', '10762874', '5546028', '6487554', '18683011', '10294988', '13260416', '5765654', '11573356']"
457401,"['1590458', '6310447', '1095734', '1166372', '3836355', '762312', '3801185', '7952153', '7018554', '6167730', '3730431', '41170', '5324691', '8451432', '7693553', '9364221', '4406703', '5009104', '3903425', '412775', '2203814', '6996012', '6150311', '4313173', '1014281', '43611', '3722172', '64169', '766314', '5341', '432631', '3215193', '680426', '7547129', '10792459', '4708709', '8621539', '454122', '3435922', '8542414', '2669368', '118889', '4169598', '1028382', '9127019', '2554713', '1071012', '583498', '2690593']"
6410084,"['5140978', '3292784', '9679898', '5373532', '6269258', '4572203', '129413', '8553938', '6177002', '4029507', '7693553', '4774224', '2686162', '5913514', '6004276', '1988619', '5393321', '4406703', '7310720', '3435922', '41170', '6721519', '5641233', '8451432', '767677', '5324691', '8491263', '49522', '9127019', '1185093', '5399221', '9617142', '9588923', '6310447', '3778962', '1590458', '20316131', '146803', '3718228', '4747684', '5264259', '161973', '6150311', '4313173', '853465', '9825504', '15446', '3801185']"
